sr50_2016t,sr50_2016,sr50_2017t,sr50_2017,sr50_2018t,sr50_2018,sr50_2019t,sr50_2019,sr50_2020t,sr50_2020
2016-06-30 0:00,1.359,2017-06-30 0:00,NaN,2018-06-30 0:00,1.354,2019-06-30 0:00,0.724,2020-06-30 0:00,NaN
2016-06-30 0:15,1.354,2017-06-30 0:15,NaN,2018-06-30 0:15,1.353,2019-06-30 0:15,0.723,2020-06-30 0:15,NaN
2016-06-30 0:30,1.357,2017-06-30 0:30,NaN,2018-06-30 0:30,1.35,2019-06-30 0:30,0.722,2020-06-30 0:30,NaN
2016-06-30 0:45,1.363,2017-06-30 0:45,NaN,2018-06-30 0:45,1.356,2019-06-30 0:45,0.721,2020-06-30 0:45,NaN
2016-06-30 1:00,1.359,2017-06-30 1:00,NaN,2018-06-30 1:00,1.352,2019-06-30 1:00,0.72,2020-06-30 1:00,NaN
2016-06-30 1:15,1.355,2017-06-30 1:15,NaN,2018-06-30 1:15,1.353,2019-06-30 1:15,0.721,2020-06-30 1:15,NaN
2016-06-30 1:30,1.345,2017-06-30 1:30,NaN,2018-06-30 1:30,1.349,2019-06-30 1:30,0.723,2020-06-30 1:30,NaN
2016-06-30 1:45,1.357,2017-06-30 1:45,NaN,2018-06-30 1:45,1.349,2019-06-30 1:45,0.721,2020-06-30 1:45,NaN
2016-06-30 2:00,1.356,2017-06-30 2:00,NaN,2018-06-30 2:00,1.354,2019-06-30 2:00,0.723,2020-06-30 2:00,NaN
2016-06-30 2:15,1.356,2017-06-30 2:15,NaN,2018-06-30 2:15,1.353,2019-06-30 2:15,0.727,2020-06-30 2:15,NaN
2016-06-30 2:30,1.353,2017-06-30 2:30,NaN,2018-06-30 2:30,1.352,2019-06-30 2:30,0.726,2020-06-30 2:30,NaN
2016-06-30 2:45,1.358,2017-06-30 2:45,NaN,2018-06-30 2:45,1.354,2019-06-30 2:45,0.723,2020-06-30 2:45,NaN
2016-06-30 3:00,1.36,2017-06-30 3:00,NaN,2018-06-30 3:00,1.354,2019-06-30 3:00,0.723,2020-06-30 3:00,NaN
2016-06-30 3:15,1.358,2017-06-30 3:15,NaN,2018-06-30 3:15,1.354,2019-06-30 3:15,0.726,2020-06-30 3:15,NaN
2016-06-30 3:30,1.354,2017-06-30 3:30,NaN,2018-06-30 3:30,1.356,2019-06-30 3:30,0.734,2020-06-30 3:30,NaN
2016-06-30 3:45,1.359,2017-06-30 3:45,NaN,2018-06-30 3:45,1.35,2019-06-30 3:45,0.731,2020-06-30 3:45,NaN
2016-06-30 4:00,1.358,2017-06-30 4:00,NaN,2018-06-30 4:00,1.355,2019-06-30 4:00,0.728,2020-06-30 4:00,NaN
2016-06-30 4:15,1.355,2017-06-30 4:15,NaN,2018-06-30 4:15,1.357,2019-06-30 4:15,0.729,2020-06-30 4:15,NaN
2016-06-30 4:30,1.36,2017-06-30 4:30,NaN,2018-06-30 4:30,1.358,2019-06-30 4:30,0.729,2020-06-30 4:30,NaN
2016-06-30 4:45,1.36,2017-06-30 4:45,NaN,2018-06-30 4:45,1.357,2019-06-30 4:45,0.729,2020-06-30 4:45,NaN
