time,Ta_C,RH_percent,U_ms,SWin_Wm2,LWin_Wm2
12-Sep-2014 16:00:00,0.745,80.2,1.671,423.96,307.44
12-Sep-2014 17:00:00,0.30125,84.45,4.787,282.7025,307.21
12-Sep-2014 18:00:00,0.1685,86.025,5.081,225.72,304.305
12-Sep-2014 19:00:00,0.065,89.9,4.20875,118.5275,305.93
12-Sep-2014 20:00:00,-0.21625,93.05,2.50325,62.52125,306.245
12-Sep-2014 21:00:00,-0.3955,94.425,2.406,15.936875,305.5325
12-Sep-2014 22:00:00,-0.52325,94.925,2.30325,0.24537,302.215
12-Sep-2014 23:00:00,-0.508,94.4,0.531,0,299.2725
13-Sep-2014 00:00:00,-0.1325,88.95,0.6385,0,297.57
13-Sep-2014 01:00:00,0.532,78.935,1.813,0.0465825,297.285
13-Sep-2014 02:00:00,-0.582,92.425,1.34275,0,270.4075
13-Sep-2014 03:00:00,-1.11325,86.225,1.01775,0,237.2025
13-Sep-2014 04:00:00,-1.1185,80.3675,2.0055,0,238.53
13-Sep-2014 05:00:00,-1.15875,72.795,3.3535,0,231.7875
13-Sep-2014 06:00:00,-1.35525,72.7475,1.53275,0,228.63
13-Sep-2014 07:00:00,-1.19075,70.3175,2.0855,0,227.5575
13-Sep-2014 08:00:00,-1.71375,76.59,1.47125,0,228.265
13-Sep-2014 09:00:00,-1.56525,76.25,2.1525,9.67995,227.935
13-Sep-2014 10:00:00,-1.296,71.1975,1.79525,26.786,225.97
13-Sep-2014 11:00:00,-1.40825,70.3175,1.9185,43.84575,226.9475
13-Sep-2014 12:00:00,-0.2505,60.58,1.85125,331.484,232.815
13-Sep-2014 13:00:00,1.60075,50.5825,1.345,460.1195,238.7275
13-Sep-2014 14:00:00,3.24375,47.4375,2.1375,682.1375,246.2975
13-Sep-2014 15:00:00,3.67875,49.7375,5.89725,703.57,251.5725
13-Sep-2014 16:00:00,3.8035,54.7525,8.17725,684.7825,252.53
13-Sep-2014 17:00:00,4.16325,54.9975,8.35325,557.505,260.9575
13-Sep-2014 18:00:00,4.7935,51.8875,7.814,534.8275,255.675
13-Sep-2014 19:00:00,5.0245,52.85,7.18575,368.32,260.05
13-Sep-2014 20:00:00,5.2445,50.46,6.802,80.5245,294.4025
13-Sep-2014 21:00:00,5.7895,47.03,4.8275,19.78245,310.195
13-Sep-2014 22:00:00,4.8775,54.6125,1.513,0.3788,312.11
13-Sep-2014 23:00:00,4.642,56.8575,1.39475,0,314.08
14-Sep-2014 00:00:00,4.33575,61.0375,1.10775,0.06294525,316.835
14-Sep-2014 01:00:00,3.96125,64.1625,1.41275,0.0760725,316.815
14-Sep-2014 02:00:00,3.762,67.435,2.27725,0.0327275,317.4
14-Sep-2014 03:00:00,3.95725,67.16,1.89375,0.0748775,316.9275
14-Sep-2014 04:00:00,3.80075,68.7675,1.1345,0.119314125,317.0725
14-Sep-2014 05:00:00,3.6295,70.0725,0.90675,0.08500725,316.64
14-Sep-2014 06:00:00,3.648,70.6325,1.04475,0.162068,317.535
14-Sep-2014 07:00:00,3.4215,73.6875,1.41325,0.093995,316.5275
14-Sep-2014 08:00:00,3.49825,73.505,1.54325,0.055602175,313.435
14-Sep-2014 09:00:00,3.65725,72.6825,0.81975,6.6019475,317.14
14-Sep-2014 10:00:00,3.625,73.98,1.05675,42.5665,318.025
14-Sep-2014 11:00:00,3.68775,74.265,1.46475,126.587,317.73
14-Sep-2014 12:00:00,4.48575,69.645,0.896,224.3875,309.655
14-Sep-2014 13:00:00,4.7935,67.9875,2.0905,367.55,297.165
14-Sep-2014 14:00:00,5.53425,63.445,3.255,704.905,273.09
14-Sep-2014 15:00:00,6.74225,56.6525,4.444,719.1675,264.22
14-Sep-2014 16:00:00,6.598,58.3725,5.78925,710.9275,264.8075
14-Sep-2014 17:00:00,7.2265,58.4575,7.99825,649.1225,265.59
14-Sep-2014 18:00:00,7.499,58.3175,8.2825,537.4325,266.24
14-Sep-2014 19:00:00,8.1425,56.545,7.887,324.63875,267.435
14-Sep-2014 20:00:00,7.59275,58.3875,5.12625,27.37325,266.4575
14-Sep-2014 21:00:00,8.3925,55.97,5.22825,11.74515,267.3125
14-Sep-2014 22:00:00,8.16075,57.47,5.529,0.0298825,266.7175
14-Sep-2014 23:00:00,8.07425,58.85,6.16525,0,266.6825
15-Sep-2014 00:00:00,7.81275,57.77,5.01675,0,266.0775
15-Sep-2014 01:00:00,6.3895,63.23,3.01975,0,263.3675
15-Sep-2014 02:00:00,6.158,63.4025,1.574,0,262.2275
15-Sep-2014 03:00:00,5.647,65.595,1.72775,0,261.48
15-Sep-2014 04:00:00,5.7935,64.98,1.4265,0,261.6575
15-Sep-2014 05:00:00,5.7055,65.24,1.881,0,261.6725
15-Sep-2014 06:00:00,5.63625,65.345,1.9925,0,261.3775
15-Sep-2014 07:00:00,5.2855,66.6125,1.54175,0,260.465
15-Sep-2014 08:00:00,5.1285,66.47,1.67375,0,259.9275
15-Sep-2014 09:00:00,4.98875,67.2,1.87125,4.6432,258.8725
15-Sep-2014 10:00:00,5.112,65.8675,1.09275,20.97675,259.5925
15-Sep-2014 11:00:00,5.103,65.63,1.7715,32.53825,260.445
15-Sep-2014 12:00:00,6.04,60.6675,2.83475,294.9785,265.1075
15-Sep-2014 13:00:00,6.622,58.6275,3.31075,415.1165,268.565
15-Sep-2014 14:00:00,7.656,53.7025,3.8925,664.905,273.83
15-Sep-2014 15:00:00,7.70375,56.0075,5.26375,707.8825,275.4675
15-Sep-2014 16:00:00,8.6975,53.325,7.173,699.525,276.2575
15-Sep-2014 17:00:00,9.535,54.4025,10.0275,634.495,275.85
15-Sep-2014 18:00:00,10.1625,49.9525,7.995,529.4,277.225
15-Sep-2014 19:00:00,10.1425,49.8175,8.79575,310.986,275.925
15-Sep-2014 20:00:00,10.63,49.945,9.0925,26.08975,273.55
15-Sep-2014 21:00:00,11.015,48.28,7.85,10.53185,273.97
15-Sep-2014 22:00:00,10.5175,48.4475,4.8025,0,271.995
15-Sep-2014 23:00:00,9.705,49.245,0.96275,0,268.215
16-Sep-2014 00:00:00,9.1925,50.3625,1.16725,0,265.2925
16-Sep-2014 01:00:00,9.2,50.2575,0.89075,0,265.47
16-Sep-2014 02:00:00,9.025,50.2275,1.31,0,267.0025
16-Sep-2014 03:00:00,9.4375,49.4775,2.18875,0,269.91
16-Sep-2014 04:00:00,11.045,41.57,5.674,0,273.185
16-Sep-2014 05:00:00,8.29625,53.85,1.4085,0,267.0525
16-Sep-2014 06:00:00,8.555,51.27,1.70725,0,266.9425
16-Sep-2014 07:00:00,9.49,45.8625,4.0925,0,268.415
16-Sep-2014 08:00:00,9.215,45.3525,2.9745,0,267.7775
16-Sep-2014 09:00:00,8.18725,47.8225,1.396,3.9899125,263.8725
16-Sep-2014 10:00:00,8.35,48.2025,2.451,20.203,264.515
16-Sep-2014 11:00:00,8.1235,48.225,1.2155,32.47275,262.205
16-Sep-2014 12:00:00,9.48,41.755,1.0215,262.14375,267.445
16-Sep-2014 13:00:00,11.01,33.3725,6.2905,367.96,272.5225
16-Sep-2014 14:00:00,11.475,31,6.00525,658.695,275.38
16-Sep-2014 15:00:00,11.655,32.005,7.0485,698.6,275.525
16-Sep-2014 16:00:00,12.0375,37.82,8.6275,686.5525,277.665
16-Sep-2014 17:00:00,12.29,37.4625,8.212,635.4325,276.6925
16-Sep-2014 18:00:00,12.2925,37.3975,7.8,531.71,276.9625
16-Sep-2014 19:00:00,11.64,38.14,7.59725,306.04875,275.57
16-Sep-2014 20:00:00,11.1575,40.9925,7.15075,25.79825,273.4275
16-Sep-2014 21:00:00,11.1125,41.925,6.54475,10.226825,273.7775
16-Sep-2014 22:00:00,10.0225,47.055,6.4955,0,273.0775
16-Sep-2014 23:00:00,9.16,49.525,7.281,0,271.42
17-Sep-2014 00:00:00,9.235,48.865,6.934,0,271.1275
17-Sep-2014 01:00:00,9.37,48.5475,6.84125,0,270.325
17-Sep-2014 02:00:00,9.34,48.4875,6.27,0,268.205
17-Sep-2014 03:00:00,9.955,45.17,6.31425,0,268.0175
17-Sep-2014 04:00:00,9.9525,45.575,6.7595,0,266.91
17-Sep-2014 05:00:00,9.84,45.305,7.14375,0,264.65
17-Sep-2014 06:00:00,9.7225,42.2725,6.98075,0,263.2625
17-Sep-2014 07:00:00,9.055,44.6325,6.6615,0,261.4675
17-Sep-2014 08:00:00,8.6075,43.7925,6.2745,0,260.22
17-Sep-2014 09:00:00,7.78575,41.615,1.52825,5.46315,257.08
17-Sep-2014 10:00:00,7.50425,41.2,2.0945,27.39075,259.7625
17-Sep-2014 11:00:00,8.09875,39.75,1.7375,94.52075,272.9675
17-Sep-2014 12:00:00,8.555,44.26,6.364,251.0775,297.3325
17-Sep-2014 13:00:00,9.3325,39.5125,7.58825,346.58,315.365
17-Sep-2014 14:00:00,9.5075,35.0725,7.45425,432.4875,308.5775
17-Sep-2014 15:00:00,11.5025,28.455,6.46575,421.435,310.2975
17-Sep-2014 16:00:00,11.0275,30.37,6.82,440.3675,319.715
17-Sep-2014 17:00:00,8.875,43.9675,6.2395,344.415,320.9925
17-Sep-2014 18:00:00,8.725,47.2325,5.971,265.965,326.3625
17-Sep-2014 19:00:00,8.4525,49.265,7.01825,191.7525,315.76
17-Sep-2014 20:00:00,9.04,46.4875,7.41325,91.4705,316.7275
17-Sep-2014 21:00:00,10.055,46.59,7.6965,23.39975,323.09
17-Sep-2014 22:00:00,8.4075,62.76,8.811,0,332.2275
17-Sep-2014 23:00:00,8.4925,64.5625,6.327,0,326.1075
18-Sep-2014 00:00:00,9.3775,60.8575,7.458,0,328.9525
18-Sep-2014 01:00:00,9.12,63.54,7.8935,0,336.9375
18-Sep-2014 02:00:00,8.3175,69.81,9.6675,0,329.02
