timestamp_moraine P Rainfall Snowfall_Cor Precip_Cor
7/1/2015 0:00 0.200542058 0.200542058 6.36E-16 0.200542058
7/1/2015 1:00 0.066847353 0.066847353 3.01E-14 0.066847353
7/1/2015 2:00 0 0 0 0
7/1/2015 3:00 0 0 0 0
7/1/2015 4:00 0.089129803 0.089129803 2.10E-14 0.089129803
7/1/2015 5:00 0.595783112 0.595783112 4.40E-14 0.595783112
7/1/2015 6:00 1.277774498 1.277774498 6.36E-15 1.277774498
7/1/2015 7:00 1.045269529 1.045269529 2.29E-15 1.045269529
7/1/2015 8:00 0.121092715 0.121092715 8.38E-17 0.121092715
7/1/2015 9:00 0 0 0 0
7/1/2015 10:00 0 0 0 0
7/1/2015 11:00 0 0 0 0
7/1/2015 12:00 0 0 0 0
7/1/2015 13:00 0 0 0 0
7/1/2015 14:00 0 0 0 0
7/1/2015 15:00 0 0 0 0
7/1/2015 16:00 0.022282451 0.022282451 7.71E-18 0.022282451
7/1/2015 17:00 0 0 0 0
7/1/2015 18:00 0 0 0 0
7/1/2015 19:00 0 0 0 0
7/1/2015 20:00 0 0 0 0
7/1/2015 21:00 0 0 0 0
7/1/2015 22:00 0 0 0 0
7/1/2015 23:00 0 0 0 0
7/2/2015 0:00 0 0 0 0
7/2/2015 1:00 0 0 0 0
7/2/2015 2:00 0 0 0 0
7/2/2015 3:00 0 0 0 0
7/2/2015 4:00 0 0 0 0
7/2/2015 5:00 0 0 0 0
7/2/2015 6:00 0 0 0 0
7/2/2015 7:00 0 0 0 0
7/2/2015 8:00 0 0 0 0
7/2/2015 9:00 0 0 0 0
7/2/2015 10:00 0 0 0 0
7/2/2015 11:00 0 0 0 0
7/2/2015 12:00 0.022282451 0.022282451 0 0.022282451
7/2/2015 13:00 0 0 0 0
7/2/2015 14:00 0 0 0 0
7/2/2015 15:00 0 0 0 0
7/2/2015 16:00 0 0 0 0
7/2/2015 17:00 0 0 0 0
7/2/2015 18:00 0 0 0 0
7/2/2015 19:00 0 0 0 0
7/2/2015 20:00 0 0 0 0
7/2/2015 21:00 0 0 0 0
7/2/2015 22:00 0 0 0 0
7/2/2015 23:00 0 0 0 0
7/3/2015 0:00 0 0 0 0
7/3/2015 1:00 0 0 0 0
7/3/2015 2:00 0 0 0 0
7/3/2015 3:00 0 0 0 0
7/3/2015 4:00 0 0 0 0
7/3/2015 5:00 0 0 0 0
7/3/2015 6:00 0 0 0 0
7/3/2015 7:00 0 0 0 0
7/3/2015 8:00 0 0 0 0
7/3/2015 9:00 0 0 0 0
7/3/2015 10:00 0 0 0 0
7/3/2015 11:00 0 0 0 0
7/3/2015 12:00 0 0 0 0
7/3/2015 13:00 0 0 0 0
7/3/2015 14:00 0 0 0 0
7/3/2015 15:00 0 0 0 0
7/3/2015 16:00 0 0 0 0
7/3/2015 17:00 0 0 0 0
7/3/2015 18:00 0 0 0 0
7/3/2015 19:00 0 0 0 0
7/3/2015 20:00 0 0 0 0
7/3/2015 21:00 0 0 0 0
7/3/2015 22:00 0 0 0 0
7/3/2015 23:00 0 0 0 0
7/4/2015 0:00 0 0 0 0
7/4/2015 1:00 0 0 0 0
7/4/2015 2:00 0 0 0 0
7/4/2015 3:00 0 0 0 0
7/4/2015 4:00 0 0 0 0
7/4/2015 5:00 0 0 0 0
7/4/2015 6:00 0 0 0 0
7/4/2015 7:00 0 0 0 0
7/4/2015 8:00 0 0 0 0
7/4/2015 9:00 0 0 0 0
7/4/2015 10:00 0 0 0 0
7/4/2015 11:00 0 0 0 0
7/4/2015 12:00 0 0 0 0
7/4/2015 13:00 0 0 0 0
7/4/2015 14:00 0 0 0 0
7/4/2015 15:00 0 0 0 0
7/4/2015 16:00 0.0538059 0.0538059 2.48E-12 0.0538059
7/4/2015 17:00 0.0951131 0.0951131 1.08E-14 0.0951131
7/4/2015 18:00 0 0 0 0
7/4/2015 19:00 0 0 0 0
7/4/2015 20:00 0 0 0 0
7/4/2015 21:00 0 0 0 0
7/4/2015 22:00 0 0 0 0
7/4/2015 23:00 0 0 0 0
7/5/2015 0:00 0 0 0 0
7/5/2015 1:00 0 0 0 0
7/5/2015 2:00 0 0 0 0
7/5/2015 3:00 0 0 0 0
7/5/2015 4:00 0 0 0 0
7/5/2015 5:00 0 0 0 0
7/5/2015 6:00 0 0 0 0
7/5/2015 7:00 0 0 0 0
7/5/2015 8:00 0 0 0 0
7/5/2015 9:00 0 0 0 0
7/5/2015 10:00 0 0 0 0
7/5/2015 11:00 0 0 0 0
7/5/2015 12:00 0 0 0 0
7/5/2015 13:00 0 0 0 0
7/5/2015 14:00 0 0 0 0
7/5/2015 15:00 0 0 0 0
7/5/2015 16:00 0 0 0 0
7/5/2015 17:00 0 0 0 0
7/5/2015 18:00 0 0 0 0
7/5/2015 19:00 0 0 0 0
7/5/2015 20:00 0 0 0 0
7/5/2015 21:00 0 0 0 0
7/5/2015 22:00 0 0 0 0
7/5/2015 23:00 0 0 0 0
7/6/2015 0:00 0 0 0 0
7/6/2015 1:00 0 0 0 0
7/6/2015 2:00 0 0 0 0
7/6/2015 3:00 0 0 0 0
7/6/2015 4:00 0 0 0 0
7/6/2015 5:00 0 0 0 0
7/6/2015 6:00 0 0 0 0
