time	Qdflat(1)	tau(1)	hru_ea(1)	hru_rh(1)	hru_t(1)
units	(W/m^2)	()	(kPa)	(%)	(°C)
41894.04167	0	0.478004	0.517236	80.2	0.745
41894.08333	0	0.478004	0.527412	84.45	0.30125
41894.125	0	0.478004	0.532093	86.025	0.1685
41894.16667	0	0.478004	0.551893	89.9	0.065
41894.20833	0	0.478004	0.558485	93.05	-0.21625
41894.25	0	0.478004	0.558408	94.425	-0.3955
41894.29167	15.336	0.478004	0.555466	94.925	-0.52325
41894.33333	146.985	0.478004	0.553091	94.4	-0.508
41894.375	323.815	0.478004	0.537579	88.95	-0.1325
41894.41667	487.306	0.478004	0.501289	78.935	0.532
41894.45833	620.568	0.478004	0.538214	92.425	-0.582
41894.5	710.922	0.478004	0.480466	86.225	-1.11325
41894.54167	751.54	0.478004	0.447632	80.3675	-1.1185
41894.58333	739.44	0.478004	0.4041	72.795	-1.15875
41894.625	675.504	0.478004	0.397288	72.7475	-1.35525
41894.66667	564.474	0.478004	0.38931	70.3175	-1.19075
41894.70833	415.316	0.478004	0.405956	76.59	-1.71375
41894.75	243.118	0.478004	0.409193	76.25	-1.56525
41894.79167	73.4118	0.478004	0.390746	71.1975	-1.296
41894.83333	0.201979	0.478004	0.382326	70.3175	-1.40825
41894.875	0	0.478004	0.362574	60.58	-0.2505
41894.91667	0	0.478004	0.346974	50.5825	1.60075
41894.95833	0	0.478004	0.365851	47.4375	3.24375
41895	0	0.478004	0.39557	49.7375	3.67875
41895.04167	0	0.634158	0.439304	54.7525	3.8035
41895.08333	0	0.634158	0.452587	54.9975	4.16325
41895.125	0	0.634158	0.446283	51.8875	4.7935
41895.16667	0	0.634158	0.461957	52.85	5.0245
41895.20833	0	0.634158	0.447884	50.46	5.2445
41895.25	0	0.634158	0.433556	47.03	5.7895
41895.29167	13.2638	0.634158	0.472487	54.6125	4.8775
41895.33333	141.101	0.634158	0.483874	56.8575	4.642
41895.375	317.392	0.634158	0.508414	61.0375	4.33575
41895.41667	480.853	0.634158	0.520558	64.1625	3.96125
41895.45833	614.182	0.634158	0.53948	67.435	3.762
41895.5	704.596	0.634158	0.544723	67.16	3.95725
41895.54167	745.244	0.634158	0.551645	68.7675	3.80075
41895.58333	733.134	0.634158	0.555363	70.0725	3.6295
41895.625	669.154	0.634158	0.560533	70.6325	3.648
41895.66667	558.055	0.634158	0.575493	73.6875	3.4215
41895.70833	408.851	0.634158	0.577191	73.505	3.49825
41895.75	236.813	0.634158	0.577178	72.6825	3.65725
41895.79167	68.4325	0.634158	0.586146	73.98	3.625
41895.83333	0	0.634158	0.591016	74.265	3.68775
41895.875	0	0.634158	0.586247	69.645	4.48575
41895.91667	0	0.634158	0.584759	67.9875	4.7935
41895.95833	0	0.634158	0.574608	63.445	5.53425
41896	0	0.634158	0.557793	56.6525	6.74225
41896.04167	0	0.636893	0.569048	58.3725	6.598
41896.08333	0	0.636893	0.595028	58.4575	7.2265
41896.125	0	0.636893	0.604781	58.3175	7.499
41896.16667	0	0.636893	0.61271	56.545	8.1425
41896.20833	0	0.636893	0.6094	58.3875	7.59275
41896.25	0	0.636893	0.616872	55.97	8.3925
41896.29167	11.2703	0.636893	0.623507	57.47	8.16075
41896.33333	135.242	0.636893	0.634732	58.85	8.07425
41896.375	310.941	0.636893	0.61208	57.77	7.81275
41896.41667	474.357	0.636893	0.607603	63.23	6.3895
41896.45833	607.744	0.636893	0.599596	63.4025	6.158
41896.5	698.213	0.636893	0.598751	65.595	5.647
41896.54167	738.889	0.636893	0.599198	64.98	5.7935
41896.58333	726.771	0.636893	0.597934	65.24	5.7055
41896.625	662.748	0.636893	0.596024	65.345	5.63625
41896.66667	551.588	0.636893	0.592945	66.6125	5.2855
41896.70833	402.517	0.636893	0.585238	66.47	5.1285
41896.75	230.494	0.636893	0.585925	67.2	4.98875
41896.79167	63.5359	0.636893	0.579267	65.8675	5.112
41896.83333	0	0.636893	0.576816	65.63	5.103
41896.875	0	0.636893	0.569067	60.6675	6.04
41896.91667	0	0.636893	0.57248	58.6275	6.622
41896.95833	0	0.636893	0.562929	53.7025	7.656
41897	0	0.636893	0.589008	56.0075	7.70375
41897.04167	0	0.623457	0.600001	53.325	8.6975
41897.08333	0	0.623457	0.647721	54.4025	9.535
41897.125	0	0.623457	0.620313	49.9525	10.1625
41897.16667	0	0.623457	0.617809	49.8175	10.1425
41897.20833	0	0.623457	0.639893	49.945	10.63
41897.25	0	0.623457	0.634618	48.28	11.015
41897.29167	9.5818	0.623457	0.616067	48.4475	10.5175
41897.33333	129.416	0.623457	0.593054	49.245	9.705
41897.375	304.633	0.623457	0.585946	50.3625	9.1925
41897.41667	467.819	0.623457	0.58502	50.2575	9.2
41897.45833	601.256	0.623457	0.577806	50.2275	9.025
41897.5	691.776	0.623457	0.585232	49.4775	9.4375
41897.54167	732.477	0.623457	0.547509	41.57	11.045
41897.58333	720.351	0.623457	0.589639	53.85	8.29625
41897.625	656.29	0.623457	0.571335	51.27	8.555
41897.66667	545.075	0.623457	0.544393	45.8625	9.49
41897.70833	395.981	0.623457	0.528458	45.3525	9.215
41897.75	224.165	0.623457	0.519774	47.8225	8.18725
41897.79167	58.7004	0.623457	0.529731	48.2025	8.35
41897.83333	0	0.623457	0.521881	48.225	8.1235
41897.875	0	0.623457	0.495303	41.755	9.48
41897.91667	0	0.623457	0.43852	33.3725	11.01
41897.95833	0	0.623457	0.420107	31	11.475
41898	0	0.623457	0.438924	32.005	11.655
41898.04167	0	0.560229	0.531937	37.82	12.0375
41898.08333	0	0.560229	0.535743	37.4625	12.29
41898.125	0	0.560229	0.534902	37.3975	12.2925
41898.16667	0	0.560229	0.522542	38.14	11.64
41898.20833	0	0.560229	0.543952	40.9925	11.1575
41898.25	0	0.560229	0.554666	41.925	11.1125
41898.29167	7.91568	0.560229	0.578879	47.055	10.0225
41898.33333	123.628	0.560229	0.57494	49.525	9.16
41898.375	298.136	0.560229	0.570155	48.865	9.235
41898.41667	461.242	0.560229	0.571627	48.5475	9.37
41898.45833	594.721	0.560229	0.569768	48.4875	9.34
41898.5	685.286	0.560229	0.553181	45.17	9.955
41898.54167	726.01	0.560229	0.558048	45.575	9.9525
41898.58333	713.877	0.560229	0.550572	45.305	9.84
41898.625	649.782	0.560229	0.509683	42.2725	9.7225
41898.66667	538.517	0.560229	0.514484	44.6325	9.055
41898.70833	389.58	0.560229	0.489748	43.7925	8.6075
41898.75	217.829	0.560229	0.440104	41.615	7.78575
41898.79167	54.2127	0.560229	0.427417	41.2	7.50425
41898.83333	0	0.560229	0.429443	39.75	8.09875
41898.875	0	0.560229	0.493218	44.26	8.555
41898.91667	0	0.560229	0.46407	39.5125	9.3325
41898.95833	0	0.560229	0.416805	35.0725	9.5075
41899	0	0.560229	0.386321	28.455	11.5025
41899.04167	0	0.396811	0.399531	30.37	11.0275
41899.08333	0	0.396811	0.500691	43.9675	8.875
41899.125	0	0.396811	0.53244	47.2325	8.725
41899.16667	0	0.396811	0.545188	49.265	8.4525
41899.20833	0	0.396811	0.535324	46.4875	9.04
41899.25	0	0.396811	0.574408	46.59	10.055
41899.29167	6.50901	0.396811	0.692412	62.76	8.4075
41899.33333	117.885	0.396811	0.716419	64.5625	8.4925
41899.375	291.788	0.396811	0.716935	60.8575	9.3775
41899.41667	454.628	0.396811	0.735653	63.54	9.12
41899.45833	588.14	0.396811	0.7655	69.81	8.3175
41899.5	678.746	0.396811	0.802555	75.3125	7.89725
41899.54167	719.491	0.396811	0.81125	78.2175	7.50075
41899.58333	707.351	0.396811	0.792156	75.6375	7.643
41899.625	643.224	0.396811	0.754939	71.2025	7.82325
41899.66667	531.917	0.396811	0.750065	70.6825	7.83575
41899.70833	382.982	0.396811	0.772886	75.375	7.33375
41899.75	211.491	0.396811	0.763099	75.585	7.10725
41899.79167	49.8149	0.396811	0.762227	75.0225	7.1995
41899.83333	0	0.396811	0.769324	76.165	7.11425
41899.875	0	0.396811	0.769556	76.5325	7.0485
41899.91667	0	0.396811	0.760001	76.8825	6.80025
41899.95833	0	0.396811	0.750618	76.3025	6.72975
