Date,WeatherType,WeatherCode
01-Jul-2020 10:00:02,cloudy,2
01-Jul-2020 13:00:02,cloudy,2
01-Jul-2020 16:00:02,cloudy,2
02-Jul-2020 10:00:02,cloudy,2
02-Jul-2020 13:00:02,cloudy,2
02-Jul-2020 16:00:02,cloudy,2
03-Jul-2020 10:00:02,cloudy,2
03-Jul-2020 13:00:02,cloudy,2
03-Jul-2020 16:00:02,cloudy,2
04-Jul-2020 10:00:02,cloudy,2
04-Jul-2020 13:00:04,mixed,1
04-Jul-2020 16:00:02,mixed,1
05-Jul-2020 10:00:02,mixed,1
05-Jul-2020 13:00:02,cloudy,2
05-Jul-2020 16:00:02,cloudy,2
06-Jul-2020 10:00:02,mixed,1
06-Jul-2020 13:00:02,cloudy,2
06-Jul-2020 16:00:02,sunny,0
07-Jul-2020 10:00:02,cloudy,2
07-Jul-2020 13:00:02,cloudy,2
07-Jul-2020 16:00:02,cloudy,2
08-Jul-2020 10:00:02,cloudy,2
08-Jul-2020 13:00:02,mixed,1
08-Jul-2020 16:00:02,cloudy,2
09-Jul-2020 10:00:02,cloudy,2
09-Jul-2020 13:00:02,cloudy,2
09-Jul-2020 16:00:02,cloudy,2
10-Jul-2020 10:00:02,mixed,1
10-Jul-2020 13:00:02,cloudy,2
10-Jul-2020 16:00:02,mixed,1
11-Jul-2020 10:00:02,mixed,1
11-Jul-2020 13:00:02,cloudy,2
11-Jul-2020 16:00:02,cloudy,2
12-Jul-2020 10:00:02,cloudy,2
12-Jul-2020 13:00:02,cloudy,2
12-Jul-2020 16:00:02,cloudy,2
13-Jul-2020 10:00:02,cloudy,2
13-Jul-2020 13:00:02,cloudy,2
13-Jul-2020 16:00:02,cloudy,2
14-Jul-2020 10:00:02,mixed,1
14-Jul-2020 13:00:02,mixed,1
14-Jul-2020 16:00:04,cloudy,2
15-Jul-2020 10:00:02,mixed,1
15-Jul-2020 13:00:02,mixed,1
15-Jul-2020 16:00:02,cloudy,2
16-Jul-2020 10:00:02,cloudy,2
16-Jul-2020 13:00:02,cloudy,2
16-Jul-2020 16:00:02,cloudy,2
17-Jul-2020 10:00:02,cloudy,2
17-Jul-2020 13:00:02,mixed,1
17-Jul-2020 16:00:02,mixed,1
18-Jul-2020 10:00:02,mixed,1
18-Jul-2020 13:00:02,mixed,1
18-Jul-2020 16:00:02,cloudy,2
19-Jul-2020 10:00:02,cloudy,2
19-Jul-2020 13:00:02,mixed,1
19-Jul-2020 16:00:02,cloudy,2
20-Jul-2020 10:00:02,sunny,0
20-Jul-2020 13:00:02,sunny,0
20-Jul-2020 16:00:02,sunny,0
21-Jul-2020 10:00:02,cloudy,2
21-Jul-2020 13:00:02,cloudy,2
21-Jul-2020 16:00:02,cloudy,2
22-Jul-2020 10:00:02,cloudy,2
22-Jul-2020 13:00:02,cloudy,2
22-Jul-2020 16:00:02,cloudy,2
23-Jul-2020 10:00:02,cloudy,2
23-Jul-2020 13:00:02,cloudy,2
23-Jul-2020 16:00:02,cloudy,2
24-Jul-2020 10:00:02,cloudy,2
24-Jul-2020 13:00:02,cloudy,2
24-Jul-2020 16:00:02,mixed,1
25-Jul-2020 10:00:02,mixed,1
25-Jul-2020 13:00:02,mixed,1
25-Jul-2020 16:00:02,mixed,1
26-Jul-2020 10:00:02,sunny,0
26-Jul-2020 13:00:02,sunny,0
26-Jul-2020 16:00:02,sunny,0
27-Jul-2020 10:00:02,sunny,0
27-Jul-2020 13:00:02,sunny,0
27-Jul-2020 16:00:02,sunny,0
28-Jul-2020 10:00:02,sunny,0
28-Jul-2020 13:00:02,mixed,1
28-Jul-2020 16:00:02,mixed,1
29-Jul-2020 10:00:02,sunny,0
29-Jul-2020 13:00:02,mixed,1
29-Jul-2020 16:00:02,mixed,1
30-Jul-2020 10:00:02,sunny,0
30-Jul-2020 13:00:02,sunny,0
30-Jul-2020 16:00:02,mixed,1
31-Jul-2020 10:00:02,sunny,0
31-Jul-2020 13:00:02,sunny,0
31-Jul-2020 16:00:02,mixed,1
01-Aug-2020 10:00:02,sunny,0
01-Aug-2020 13:00:02,sunny,0
01-Aug-2020 16:00:02,mixed,1
02-Aug-2020 10:00:02,sunny,0
02-Aug-2020 13:00:02,mixed,1
02-Aug-2020 16:00:02,mixed,1
03-Aug-2020 10:00:02,cloudy,2
03-Aug-2020 13:00:02,cloudy,2
03-Aug-2020 16:00:02,mixed,1
04-Aug-2020 10:00:02,sunny,0
04-Aug-2020 13:00:02,sunny,0
04-Aug-2020 16:00:02,sunny,0
05-Aug-2020 10:00:02,sunny,0
05-Aug-2020 13:00:02,sunny,0
05-Aug-2020 16:00:02,mixed,1
06-Aug-2020 10:00:02,cloudy,2
06-Aug-2020 13:00:02,cloudy,2
06-Aug-2020 16:00:02,cloudy,2
07-Aug-2020 10:00:02,cloudy,2
07-Aug-2020 13:00:02,cloudy,2
07-Aug-2020 16:00:02,cloudy,2
08-Aug-2020 10:00:02,cloudy,2
08-Aug-2020 13:00:02,cloudy,2
08-Aug-2020 16:00:02,mixed,1
09-Aug-2020 10:00:02,mixed,1
09-Aug-2020 13:00:02,sunny,0
09-Aug-2020 16:00:02,mixed,1
10-Aug-2020 10:00:02,mixed,1
10-Aug-2020 13:00:02,cloudy,2
10-Aug-2020 16:00:02,cloudy,2
11-Aug-2020 10:00:02,cloudy,2
11-Aug-2020 13:00:02,cloudy,2
11-Aug-2020 16:00:02,cloudy,2
12-Aug-2020 10:00:00,mixed,1
12-Aug-2020 13:00:00,mixed,1
12-Aug-2020 16:00:00,cloudy,2
13-Aug-2020 10:00:00,cloudy,2
13-Aug-2020 13:00:00,mixed,1
13-Aug-2020 16:00:00,cloudy,2
14-Aug-2020 10:00:00,cloudy,2
14-Aug-2020 13:00:00,cloudy,2
14-Aug-2020 16:00:00,cloudy,2
15-Aug-2020 10:00:00,mixed,1
15-Aug-2020 13:00:00,cloudy,2
15-Aug-2020 16:00:00,mixed,1
16-Aug-2020 10:00:00,sunny,0
16-Aug-2020 13:00:00,sunny,0
16-Aug-2020 16:00:00,mixed,1
17-Aug-2020 10:00:00,cloudy,2
17-Aug-2020 13:00:00,mixed,1
17-Aug-2020 16:00:00,mixed,1
